year,player,games_played,at_bats,runs,hits,doubles,triples,homeruns,strikeouts,teams
1871,Cap Anson,25,120,29,39,11,3,0,1,['Rockford Forest Citys']
1871,Deacon White,29,146,40,47,6,5,1,1,['Cleveland Forest Citys']
1871,Ezra Sutton,29,128,35,45,3,7,3,0,['Cleveland Forest Citys']
1871,George Wright,16,80,33,33,7,5,0,1,['Boston Red Stockings']
1871,Joe Start,33,161,35,58,5,1,1,0,['New York Mutuals']
1871,Tom Carey,19,87,16,20,2,0,0,1,['Fort Wayne Kekiongas']
1872,Cap Anson,46,217,60,90,10,7,0,3,['Philadelphia Athletics']
1872,Deacon White,22,109,21,37,2,2,0,1,['Cleveland Forest Citys']
1872,Ezra Sutton,22,107,30,30,6,1,0,1,['Cleveland Forest Citys']
1872,George Wright,48,255,87,86,16,6,2,1,['Boston Red Stockings']
1872,Jack Burdock,37,174,27,47,3,0,0,1,['Brooklyn Atlantics']
1872,Jim O'Rourke,23,99,25,27,5,0,0,0,['Middletown Mansfields']
1872,Joe Start,54,277,60,75,5,0,0,0,['New York Mutuals']
1872,Paul Hines,11,49,9,11,1,0,0,0,['Washington Nationals']
1872,Tom Carey,42,196,42,57,7,0,2,2,['Baltimore Canaries']
1873,Cap Anson,52,254,53,101,9,2,0,2,['Philadelphia Athletics']
1873,Deacon White,60,311,79,122,17,8,1,2,['Boston Red Stockings']
1873,Ezra Sutton,51,243,51,81,7,6,0,2,['Philadelphia Athletics']
1873,George Wright,59,323,99,125,17,7,3,2,['Boston Red Stockings']
1873,Jack Burdock,55,245,56,62,7,1,2,4,['Brooklyn Atlantics']
1873,Jim O'Rourke,57,280,79,98,21,2,1,3,['Boston Red Stockings']
1873,Joe Start,53,252,42,67,8,3,1,0,['New York Mutuals']
1873,Paul Hines,39,181,33,60,6,3,1,2,['Washington Blue Legs']
1873,Pop Snyder,28,107,16,21,2,0,0,4,['Washington Blue Legs']
1873,Tom Carey,56,291,76,98,18,3,1,4,['Baltimore Canaries']
1874,Cap Anson,55,260,51,87,8,3,0,1,['Philadelphia Athletics']
1874,Deacon White,70,352,75,106,5,7,3,0,['Boston Red Stockings']
1874,Ezra Sutton,55,243,54,71,10,3,0,2,['Philadelphia Athletics']
1874,George Wright,60,313,76,103,10,15,2,6,['Boston Red Stockings']
1874,Jack Burdock,61,273,45,75,11,4,1,5,['New York Mutuals']
1874,Jim O'Rourke,70,331,82,104,15,8,5,5,['Boston Red Stockings']
1874,Joe Start,63,306,67,96,13,3,2,0,['New York Mutuals']
1874,Paul Hines,59,271,47,80,10,2,0,4,['Chicago White Stockings']
1874,Pop Snyder,39,151,24,33,4,0,1,2,['Baltimore Canaries']
1874,Tom Carey,64,287,56,82,10,3,1,4,['New York Mutuals']
1875,Cap Anson,69,326,84,106,15,3,0,2,['Philadelphia Athletics']
1875,Deacon White,80,371,76,136,23,3,1,2,['Boston Red Stockings']
1875,Ezra Sutton,75,358,83,116,11,7,1,3,['Philadelphia Athletics']
1875,George Wright,79,408,106,136,20,7,2,6,['Boston Red Stockings']
1875,Jack Burdock,74,350,72,103,12,5,0,13,['Hartford Dark Blues']
1875,Jim O'Rourke,75,358,97,106,13,7,6,6,['Boston Red Stockings']
1875,Joe Start,69,314,58,90,10,5,4,0,['New York Mutuals']
1875,Paul Hines,68,308,45,101,14,4,0,0,['Chicago White Stockings']
1875,Pop Snyder,66,263,38,64,8,2,1,4,['Philadelphia Whites']
1875,Tom Carey,86,382,63,101,6,2,0,3,['Hartford Dark Blues']
1876,Cap Anson,66,309,63,110,9,7,2,8,['Chicago White Stockings']
1876,Deacon White,66,303,66,104,18,1,1,3,['Chicago White Stockings']
1876,Ezra Sutton,54,236,45,70,12,7,1,2,['Philadelphia Athletics']
1876,George Wright,70,335,72,100,18,6,1,9,['Boston Red Caps']
1876,Jack Burdock,69,309,66,80,9,1,0,16,['Hartford Dark Blues']
1876,Jim O'Rourke,70,312,61,102,17,3,2,17,['Boston Red Caps']
1876,Joe Start,56,264,40,73,6,0,0,2,['New York Mutuals']
1876,Paul Hines,64,305,62,101,21,3,2,3,['Chicago White Stockings']
1876,Pop Snyder,56,224,21,44,4,1,1,7,['Louisville Grays']
1876,Tom Carey,68,289,51,78,7,0,0,4,['Hartford Dark Blues']
1877,Cap Anson,59,255,52,86,19,1,0,3,['Chicago White Stockings']
1877,Deacon White,59,266,51,103,14,11,2,3,['Boston Red Caps']
1877,Ezra Sutton,58,253,43,74,10,6,0,10,['Boston Red Caps']
1877,George Wright,61,290,58,80,15,1,0,15,['Boston Red Caps']
1877,Harry Smith,34,130,11,28,3,1,0,11,"['Chicago White Stockings', 'Cincinnati Reds']"
1877,Jack Burdock,58,277,35,72,6,0,0,16,['Hartford Dark Blues']
1877,Jim O'Rourke,61,265,68,96,14,4,0,9,['Boston Red Caps']
1877,Joe Start,60,271,55,90,3,6,1,2,['Hartford Dark Blues']
1877,Paul Hines,60,261,44,73,11,7,0,8,['Chicago White Stockings']
1877,Pop Snyder,61,248,23,64,7,2,2,14,['Louisville Grays']
1877,Tom Carey,60,274,38,70,3,2,1,9,['Hartford Dark Blues']
1878,Cap Anson,60,261,55,89,12,2,0,1,['Chicago White Stockings']
1878,Deacon White,61,258,41,81,4,1,0,5,['Cincinnati Reds']
1878,Ezra Sutton,60,239,31,54,9,3,1,14,['Boston Red Caps']
1878,George Wright,59,267,35,60,5,1,0,22,['Boston Red Caps']
1878,Jack Burdock,60,246,37,64,12,6,0,17,['Boston Red Caps']
1878,Jim O'Rourke,60,255,44,71,17,7,1,21,['Boston Red Caps']
1878,Joe Start,61,285,58,100,12,5,1,3,['Chicago White Stockings']
1878,John Ward,37,138,14,27,5,4,1,13,['Providence Grays']
1878,King Kelly,60,237,29,67,7,1,0,7,['Cincinnati Reds']
1878,Paul Hines,62,257,42,92,13,4,4,10,['Providence Grays']
1878,Pop Snyder,60,226,21,48,5,0,0,19,['Boston Red Caps']
1878,Tom Carey,61,253,33,60,10,3,0,14,['Providence Grays']
1879,Bill Phillips,81,365,58,99,15,4,0,20,['Cleveland Blues']
1879,Bill White,1,4,1,1,0,0,0,1,['Providence Grays']
1879,Cap Anson,51,227,40,72,20,1,0,2,['Chicago White Stockings']
1879,Dan Brouthers,39,168,17,46,12,1,4,18,['Troy Trojans']
1879,Deacon White,78,333,55,110,16,6,1,9,['Cincinnati Reds']
1879,Ezra Sutton,84,339,54,84,13,4,0,18,['Boston Red Caps']
1879,George Wright,85,388,79,107,15,10,1,20,['Providence Grays']
1879,Jack Burdock,84,359,64,86,10,3,0,28,['Boston Red Caps']
1879,Jack Glasscock,80,325,31,68,9,3,0,24,['Cleveland Blues']
1879,Jim O'Rourke,81,362,69,126,19,9,1,10,['Providence Grays']
1879,Joe Start,66,317,70,101,11,5,2,4,['Providence Grays']
1879,John Ward,83,364,71,104,9,4,2,14,['Providence Grays']
1879,King Kelly,77,345,78,120,20,12,2,14,['Cincinnati Reds']
1879,Paul Hines,85,409,81,146,25,10,2,16,['Providence Grays']
1879,Pop Snyder,81,329,42,78,16,3,2,31,['Boston Red Caps']
1879,Tom Carey,80,335,30,80,14,1,0,20,['Cleveland Blues']
1880,Arlie Latham,22,79,9,10,3,1,0,8,['Buffalo Bisons']
1880,Bill Phillips,85,334,41,85,14,10,1,29,['Cleveland Blues']
1880,Buck Ewing,13,45,1,8,1,0,0,3,['Troy Trojans']
1880,Cap Anson,86,356,54,120,24,1,1,12,['Chicago White Stockings']
1880,Dan Brouthers,3,12,0,2,0,0,0,0,['Troy Trojans']
1880,Deacon White,35,141,21,42,4,2,0,7,['Cincinnati Reds']
1880,Ezra Sutton,76,288,41,72,9,2,0,7,['Boston Red Caps']
1880,George Wright,1,4,2,1,0,0,0,0,['Boston Red Caps']
