year,player,games_played,innings_played_in_outs,putouts,assists,errors,field_positions,teams
1871,Cap Anson,29,699,58,56,37,"['C', '1B', '3B', 'OF', '2B']",['Rockford Forest Citys']
1871,Deacon White,34,753,138,24,36,"['C', '3B', 'OF', '2B', 'SS']",['Cleveland Forest Citys']
1871,Ezra Sutton,32,759,41,53,25,"['C', '3B', 'OF']",['Cleveland Forest Citys']
1871,George Wright,16,411,41,62,21,"['1B', 'SS']",['Boston Red Stockings']
1871,Joe Start,33,879,334,2,29,['1B'],['New York Mutuals']
1871,Tom Carey,19,507,58,50,18,['2B'],['Fort Wayne Kekiongas']
1872,Cap Anson,46,1233,89,84,57,['3B'],['Philadelphia Athletics']
1872,Deacon White,26,642,82,37,23,"['C', '2B', 'OF']",['Cleveland Forest Citys']
1872,Ezra Sutton,22,597,47,42,35,['3B'],['Cleveland Forest Citys']
1872,George Wright,48,1290,87,193,55,['SS'],['Boston Red Stockings']
1872,Jack Burdock,42,1017,56,119,58,"['C', '2B', 'SS']",['Brooklyn Atlantics']
1872,Jim O'Rourke,27,621,54,65,43,"['C', '1B', '3B', 'SS']",['Middletown Mansfields']
1872,Joe Start,54,1479,497,0,22,['1B'],['New York Mutuals']
1872,Paul Hines,12,300,78,4,16,"['C', '1B', '3B']",['Washington Nationals']
1872,Tom Carey,45,1053,103,65,48,"['1B', '3B', 'OF', '2B', 'SS']",['Baltimore Canaries']
1873,Cap Anson,56,1449,440,32,54,"['C', '1B', '3B', 'OF', '2B']",['Philadelphia Athletics']
1873,Deacon White,68,1500,231,46,53,"['C', 'OF']",['Boston Red Stockings']
1873,Ezra Sutton,53,1371,88,133,61,"['2B', '3B', 'SS']",['Philadelphia Athletics']
1873,George Wright,59,1569,89,247,71,['SS'],['Boston Red Stockings']
1873,Jack Burdock,57,1500,170,166,75,"['C', '2B']",['Brooklyn Atlantics']
1873,Jim O'Rourke,67,1512,394,21,48,"['C', '1B', 'OF']",['Boston Red Stockings']
1873,Joe Start,55,1413,413,18,26,"['OF', '1B']",['New York Mutuals']
1873,Paul Hines,39,1056,93,15,26,"['C', '2B', 'OF']",['Washington Blue Legs']
1873,Pop Snyder,31,795,97,44,31,"['C', 'OF']",['Washington Blue Legs']
1873,Tom Carey,61,1470,136,152,55,"['2B', '3B', 'SS']",['Baltimore Canaries']
1874,Cap Anson,59,1464,283,57,49,"['C', '1B', '3B', 'OF', 'SS']",['Philadelphia Athletics']
1874,Deacon White,80,1908,273,40,70,"['C', '1B', 'OF']",['Boston Red Stockings']
1874,Ezra Sutton,56,1404,79,136,48,"['3B', 'SS']",['Philadelphia Athletics']
1874,George Wright,61,1623,97,198,64,"['3B', 'SS']",['Boston Red Stockings']
1874,Jack Burdock,63,1647,163,131,64,"['OF', '3B']",['New York Mutuals']
1874,Jim O'Rourke,70,1878,755,12,46,['1B'],['Boston Red Stockings']
1874,Joe Start,65,1692,560,13,23,"['OF', '1B']",['New York Mutuals']
1874,Paul Hines,63,1608,167,33,40,"['OF', '2B', 'SS']",['Chicago White Stockings']
1874,Pop Snyder,39,990,132,47,48,['C'],['Baltimore Canaries']
1874,Tom Carey,64,1713,70,167,68,"['2B', 'SS']",['New York Mutuals']
1875,Cap Anson,75,1836,352,49,54,"['C', '1B', '3B', 'OF']",['Philadelphia Athletics']
1875,Deacon White,90,1974,368,88,63,"['C', '1B', 'OF']",['Boston Red Stockings']
1875,Ezra Sutton,79,2010,150,168,76,"['1B', '3B', 'OF', 'SS', 'P']",['Philadelphia Athletics']
1875,George Wright,81,2085,95,254,56,"['SS', 'P']",['Boston Red Stockings']
1875,Jack Burdock,76,2001,211,185,49,"['C', '2B', '3B']",['Hartford Dark Blues']
1875,Jim O'Rourke,79,2043,142,63,58,"['C', '1B', '3B', 'OF']",['Boston Red Stockings']
1875,Joe Start,69,1866,702,12,39,['1B'],['New York Mutuals']
1875,Paul Hines,71,1941,169,118,48,"['C', '2B', 'SS', 'OF']",['Chicago White Stockings']
1875,Pop Snyder,67,1776,309,58,77,"['C', '1B']",['Philadelphia Whites']
1875,Tom Carey,87,2292,89,240,61,"['2B', 'SS']",['Hartford Dark Blues']
1876,Cap Anson,68,1773,137,147,50,"['C', '3B']",['Chicago White Stockings']
1876,Deacon White,71,1812,318,51,69,"['C', '1B', '3B', 'OF', 'P']",['Chicago White Stockings']
1876,Ezra Sutton,56,1518,390,52,58,"['2B', '1B', '3B', 'OF']",['Philadelphia Athletics']
1876,George Wright,71,1893,96,253,44,"['2B', 'SS', 'P']",['Boston Red Caps']
1876,Jack Burdock,70,1857,211,175,45,"['2B', '3B']",['Hartford Dark Blues']
1876,Jim O'Rourke,71,1893,170,7,28,"['C', '1B', 'OF']",['Boston Red Caps']
1876,Joe Start,56,1572,547,10,21,['1B'],['New York Mutuals']
1876,Paul Hines,65,1719,159,8,14,"['OF', '2B']",['Chicago White Stockings']
