year,player,wins,losses,games_played,saves,hits,strikeouts,wild_pitches,runs_allowed,teams
1884,Charlie Morton,0,1,3,0,18,7,0,14,['Toledo Blue Stockings']
1890,Bob Miller,3,7,13,1,89,20,5,58,['Rochester Broncos']
1890,Cy Young,9,7,17,0,145,39,7,87,['Cleveland Spiders']
1891,Bob Miller,2,5,7,0,53,13,2,51,['Washington Statesmen']
1891,Clark Griffith,14,9,34,2,242,88,9,155,"['Boston Reds', 'St. Louis Browns']"
1891,Cy Young,27,22,55,2,431,147,12,244,['Cleveland Spiders']
1891,Jack Taylor,0,1,1,0,4,3,0,2,['New York Giants']
1892,Cy Young,36,12,53,0,363,168,13,158,['Cleveland Spiders']
1892,Jack Taylor,1,0,3,0,28,7,0,19,['Philadelphia Phillies']
1893,Clark Griffith,1,2,4,0,24,9,0,14,['Chicago Colts']
1893,Cy Young,33,16,53,2,442,102,14,230,['Cleveland Spiders']
1893,Jack Taylor,10,9,25,1,187,41,2,113,['Philadelphia Phillies']
1894,Clark Griffith,21,14,36,0,328,71,5,193,['Chicago Colts']
1894,Cy Young,26,21,52,1,488,108,4,265,['Cleveland Spiders']
1894,Jack Taylor,23,13,41,1,347,76,5,201,['Philadelphia Phillies']
1895,Clark Griffith,26,14,42,0,434,79,7,228,['Chicago Colts']
1895,Cy Young,35,10,47,0,363,121,6,177,['Cleveland Spiders']
1895,Jack Taylor,26,14,41,1,403,93,4,233,['Philadelphia Phillies']
1896,Clark Griffith,23,11,36,0,370,81,1,189,['Chicago Colts']
1896,Cy Young,28,15,51,3,477,140,10,214,['Cleveland Spiders']
1896,Jack Taylor,20,21,45,1,459,97,3,282,['Philadelphia Phillies']
1897,Clark Griffith,21,18,41,1,410,102,11,231,['Chicago Colts']
1897,Cy Young,21,19,46,0,391,88,14,189,['Cleveland Spiders']
1897,Jack Powell,15,10,27,0,245,61,3,117,['Cleveland Spiders']
1897,Jack Taylor,16,20,40,2,376,88,16,204,['Philadelphia Phillies']
1898,Bill Donovan,1,6,17,0,88,36,12,74,['Washington Senators']
1898,Clark Griffith,24,10,38,0,305,97,6,105,['Chicago Orphans']
1898,Cy Young,25,13,46,0,387,101,9,167,['Cleveland Spiders']
1898,Jack Powell,23,15,42,0,328,93,6,154,['Cleveland Spiders']
1898,Jack Taylor,20,29,55,1,497,100,8,271,"['Chicago Orphans', 'St. Louis Browns']"
1898,Nick Altrock,3,3,11,0,89,13,5,54,['Louisville Colonels']
1899,Bill Donovan,1,2,5,1,35,11,1,22,['Brooklyn Superbas']
1899,Clark Griffith,22,14,38,0,329,73,1,163,['Chicago Orphans']
1899,Cy Young,26,16,44,1,368,111,6,173,['St. Louis Perfectos']
1899,Jack Powell,23,19,48,0,433,87,3,197,['St. Louis Perfectos']
1899,Jack Taylor,27,31,66,2,587,102,4,333,"['Chicago Orphans', 'Cincinnati Reds']"
1900,Bill Donovan,1,2,5,0,36,13,1,23,['Brooklyn Superbas']
1900,Christy Mathewson,0,3,6,0,37,15,1,32,['New York Giants']
1900,Clark Griffith,14,13,30,0,245,61,5,126,['Chicago Orphans']
1900,Cy Young,20,18,41,0,337,115,7,144,['St. Louis Cardinals']
1900,Jack Powell,17,17,38,0,325,77,3,194,['St. Louis Cardinals']
1900,Jack Taylor,10,17,28,1,226,57,4,130,['Chicago Orphans']
